,OKR,date_or_period,category_or_dept,variable,value
1,obj1kr1,1,Assessment,budget variance,-22
2,obj1kr1,2,Assessment,budget variance,-37
3,obj1kr1,3,Assessment,budget variance,6
4,obj1kr1,4,Assessment,budget variance,-8
5,obj1kr1,5,Assessment,budget variance,39
6,obj1kr1,6,Assessment,budget variance,2
7,obj1kr1,7,Assessment,budget variance,-37
8,obj1kr1,8,Assessment,budget variance,-6
9,obj1kr1,9,Assessment,budget variance,4
10,obj1kr1,10,Assessment,budget variance,8
11,obj1kr1,11,Assessment,budget variance,45
12,obj1kr1,1,Audit,budget variance,-15
13,obj1kr1,2,Audit,budget variance,0
14,obj1kr1,3,Audit,budget variance,2
15,obj1kr1,4,Audit,budget variance,0
16,obj1kr1,5,Audit,budget variance,1
17,obj1kr1,6,Audit,budget variance,2
18,obj1kr1,7,Audit,budget variance,2
19,obj1kr1,8,Audit,budget variance,1
20,obj1kr1,9,Audit,budget variance,14
21,obj1kr1,10,Audit,budget variance,25
22,obj1kr1,11,Audit,budget variance,26
23,obj1kr1,2,BAA,budget variance,-51
24,obj1kr1,3,BAA,budget variance,-18
25,obj1kr1,4,BAA,budget variance,-18
26,obj1kr1,5,BAA,budget variance,-18
27,obj1kr1,6,BAA,budget variance,-18
28,obj1kr1,7,BAA,budget variance,-18
29,obj1kr1,8,BAA,budget variance,17
30,obj1kr1,9,BAA,budget variance,23
31,obj1kr1,10,BAA,budget variance,26
32,obj1kr1,11,BAA,budget variance,23
33,obj1kr1,2,Board of Zoning Appeals,budget variance,-16
34,obj1kr1,3,Board of Zoning Appeals,budget variance,32
35,obj1kr1,4,Board of Zoning Appeals,budget variance,-16
36,obj1kr1,5,Board of Zoning Appeals,budget variance,20
37,obj1kr1,6,Board of Zoning Appeals,budget variance,-40
38,obj1kr1,7,Board of Zoning Appeals,budget variance,-40
39,obj1kr1,8,Board of Zoning Appeals,budget variance,20
40,obj1kr1,9,Board of Zoning Appeals,budget variance,-52
41,obj1kr1,10,Board of Zoning Appeals,budget variance,-28
42,obj1kr1,11,Board of Zoning Appeals,budget variance,20
43,obj1kr1,1,Citizens Review,budget variance,-14
44,obj1kr1,2,Citizens Review,budget variance,8
45,obj1kr1,3,Citizens Review,budget variance,35
46,obj1kr1,4,Citizens Review,budget variance,10
47,obj1kr1,5,Citizens Review,budget variance,12
48,obj1kr1,6,Citizens Review,budget variance,17
49,obj1kr1,7,Citizens Review,budget variance,-36
50,obj1kr1,8,Citizens Review,budget variance,-36
51,obj1kr1,9,Citizens Review,budget variance,-37
52,obj1kr1,10,Citizens Review,budget variance,15
53,obj1kr1,11,Citizens Review,budget variance,13
54,obj1kr1,1,City Clerk,budget variance,-16
55,obj1kr1,2,City Clerk,budget variance,2
56,obj1kr1,3,City Clerk,budget variance,1
57,obj1kr1,4,City Clerk,budget variance,-1
58,obj1kr1,5,City Clerk,budget variance,2
59,obj1kr1,6,City Clerk,budget variance,6
60,obj1kr1,7,City Clerk,budget variance,2
61,obj1kr1,8,City Clerk,budget variance,3
62,obj1kr1,9,City Clerk,budget variance,19
63,obj1kr1,10,City Clerk,budget variance,3
64,obj1kr1,11,City Clerk,budget variance,9
65,obj1kr1,2,Common Council,budget variance,3
66,obj1kr1,3,Common Council,budget variance,-1
67,obj1kr1,4,Common Council,budget variance,0
68,obj1kr1,5,Common Council,budget variance,1
69,obj1kr1,6,Common Council,budget variance,4
70,obj1kr1,7,Common Council,budget variance,-1
71,obj1kr1,8,Common Council,budget variance,1
72,obj1kr1,9,Common Council,budget variance,-5
73,obj1kr1,10,Common Council,budget variance,-6
74,obj1kr1,11,Common Council,budget variance,1
75,obj1kr1,1,DPW,budget variance,-45
76,obj1kr1,2,DPW,budget variance,-8
77,obj1kr1,3,DPW,budget variance,-10
78,obj1kr1,4,DPW,budget variance,12
79,obj1kr1,5,DPW,budget variance,-5
80,obj1kr1,6,DPW,budget variance,-17
81,obj1kr1,7,DPW,budget variance,-7
82,obj1kr1,8,DPW,budget variance,-2
83,obj1kr1,9,DPW,budget variance,-6
84,obj1kr1,10,DPW,budget variance,-2
85,obj1kr1,11,DPW,budget variance,5
86,obj1kr1,1,Employment At Risk,budget variance,-14
87,obj1kr1,2,Employment At Risk,budget variance,58
88,obj1kr1,5,Employment At Risk,budget variance,11
89,obj1kr1,6,Employment At Risk,budget variance,11
90,obj1kr1,7,Employment At Risk,budget variance,12
91,obj1kr1,10,Employment At Risk,budget variance,22
92,obj1kr1,11,Employment At Risk,budget variance,22
93,obj1kr1,1,Engineering,budget variance,-32
94,obj1kr1,2,Engineering,budget variance,-27
95,obj1kr1,3,Engineering,budget variance,-24
96,obj1kr1,4,Engineering,budget variance,-20
97,obj1kr1,5,Engineering,budget variance,-22
98,obj1kr1,6,Engineering,budget variance,-19
99,obj1kr1,7,Engineering,budget variance,-20
100,obj1kr1,8,Engineering,budget variance,-18
101,obj1kr1,9,Engineering,budget variance,-22
102,obj1kr1,10,Engineering,budget variance,-22
103,obj1kr1,11,Engineering,budget variance,-25
104,obj1kr1,1,Executive,budget variance,-19
105,obj1kr1,2,Executive,budget variance,-33
106,obj1kr1,3,Executive,budget variance,-13
107,obj1kr1,4,Executive,budget variance,15
108,obj1kr1,5,Executive,budget variance,-16
109,obj1kr1,6,Executive,budget variance,-11
110,obj1kr1,7,Executive,budget variance,10
111,obj1kr1,8,Executive,budget variance,3
112,obj1kr1,9,Executive,budget variance,44
113,obj1kr1,10,Executive,budget variance,53
114,obj1kr1,11,Executive,budget variance,12
115,obj1kr1,1,Finance,budget variance,-22
116,obj1kr1,2,Finance,budget variance,-22
117,obj1kr1,3,Finance,budget variance,-7
118,obj1kr1,4,Finance,budget variance,10
119,obj1kr1,5,Finance,budget variance,1
120,obj1kr1,6,Finance,budget variance,4
121,obj1kr1,7,Finance,budget variance,0
122,obj1kr1,8,Finance,budget variance,12
123,obj1kr1,9,Finance,budget variance,-3
124,obj1kr1,10,Finance,budget variance,-8
125,obj1kr1,11,Finance,budget variance,-2
126,obj1kr1,1,Fire,budget variance,-17
