"","OKR","date_or_period","category_or_dept","variable","value"
"1","obj1kr1",1,"Assessment","budget variance",-22
"2","obj1kr1",2,"Assessment","budget variance",-37
"3","obj1kr1",3,"Assessment","budget variance",6
"4","obj1kr1",4,"Assessment","budget variance",-8
"5","obj1kr1",5,"Assessment","budget variance",39
"6","obj1kr1",6,"Assessment","budget variance",2
"7","obj1kr1",7,"Assessment","budget variance",-37
"8","obj1kr1",8,"Assessment","budget variance",-6
"9","obj1kr1",9,"Assessment","budget variance",4
"10","obj1kr1",10,"Assessment","budget variance",8
"11","obj1kr1",11,"Assessment","budget variance",45
"12","obj1kr1",1,"Audit","budget variance",-15
"13","obj1kr1",2,"Audit","budget variance",0
"14","obj1kr1",3,"Audit","budget variance",2
"15","obj1kr1",4,"Audit","budget variance",0
"16","obj1kr1",5,"Audit","budget variance",1
"17","obj1kr1",6,"Audit","budget variance",2
"18","obj1kr1",7,"Audit","budget variance",2
"19","obj1kr1",8,"Audit","budget variance",1
"20","obj1kr1",9,"Audit","budget variance",14
"21","obj1kr1",10,"Audit","budget variance",25
"22","obj1kr1",11,"Audit","budget variance",26
"23","obj1kr1",2,"BAA","budget variance",-51
"24","obj1kr1",3,"BAA","budget variance",-18
"25","obj1kr1",4,"BAA","budget variance",-18
"26","obj1kr1",5,"BAA","budget variance",-18
"27","obj1kr1",6,"BAA","budget variance",-18
"28","obj1kr1",7,"BAA","budget variance",-18
"29","obj1kr1",8,"BAA","budget variance",17
"30","obj1kr1",9,"BAA","budget variance",23
"31","obj1kr1",10,"BAA","budget variance",26
"32","obj1kr1",11,"BAA","budget variance",23
"33","obj1kr1",2,"Board of Zoning Appeals","budget variance",-16
"34","obj1kr1",3,"Board of Zoning Appeals","budget variance",32
"35","obj1kr1",4,"Board of Zoning Appeals","budget variance",-16
"36","obj1kr1",5,"Board of Zoning Appeals","budget variance",20
"37","obj1kr1",6,"Board of Zoning Appeals","budget variance",-40
"38","obj1kr1",7,"Board of Zoning Appeals","budget variance",-40
"39","obj1kr1",8,"Board of Zoning Appeals","budget variance",20
"40","obj1kr1",9,"Board of Zoning Appeals","budget variance",-52
"41","obj1kr1",10,"Board of Zoning Appeals","budget variance",-28
"42","obj1kr1",11,"Board of Zoning Appeals","budget variance",20
"43","obj1kr1",1,"Budget","budget variance",-1
"44","obj1kr1",2,"Budget","budget variance",-1
"45","obj1kr1",3,"Budget","budget variance",-10
"46","obj1kr1",4,"Budget","budget variance",4
"47","obj1kr1",5,"Budget","budget variance",-2
"48","obj1kr1",6,"Budget","budget variance",1
"49","obj1kr1",7,"Budget","budget variance",4
"50","obj1kr1",8,"Budget","budget variance",-4
"51","obj1kr1",9,"Budget","budget variance",-1
"52","obj1kr1",10,"Budget","budget variance",5
"53","obj1kr1",11,"Budget","budget variance",18
"54","obj1kr1",1,"Citizens Review","budget variance",-14
"55","obj1kr1",2,"Citizens Review","budget variance",8
"56","obj1kr1",3,"Citizens Review","budget variance",35
"57","obj1kr1",4,"Citizens Review","budget variance",10
"58","obj1kr1",5,"Citizens Review","budget variance",12
"59","obj1kr1",6,"Citizens Review","budget variance",17
"60","obj1kr1",7,"Citizens Review","budget variance",-36
"61","obj1kr1",8,"Citizens Review","budget variance",-36
"62","obj1kr1",9,"Citizens Review","budget variance",-37
"63","obj1kr1",10,"Citizens Review","budget variance",15
"64","obj1kr1",11,"Citizens Review","budget variance",13
"65","obj1kr1",1,"City Clerk","budget variance",-16
"66","obj1kr1",2,"City Clerk","budget variance",2
"67","obj1kr1",3,"City Clerk","budget variance",1
"68","obj1kr1",4,"City Clerk","budget variance",-1
"69","obj1kr1",5,"City Clerk","budget variance",2
"70","obj1kr1",6,"City Clerk","budget variance",6
"71","obj1kr1",7,"City Clerk","budget variance",2
"72","obj1kr1",8,"City Clerk","budget variance",3
"73","obj1kr1",9,"City Clerk","budget variance",19
"74","obj1kr1",10,"City Clerk","budget variance",3
"75","obj1kr1",11,"City Clerk","budget variance",9
"76","obj1kr1",1,"Code Enforcement","budget variance",-26
"77","obj1kr1",2,"Code Enforcement","budget variance",-36
"78","obj1kr1",3,"Code Enforcement","budget variance",-3
"79","obj1kr1",4,"Code Enforcement","budget variance",24
"80","obj1kr1",5,"Code Enforcement","budget variance",-8
"81","obj1kr1",6,"Code Enforcement","budget variance",-4
"82","obj1kr1",7,"Code Enforcement","budget variance",-70
"83","obj1kr1",8,"Code Enforcement","budget variance",63
"84","obj1kr1",9,"Code Enforcement","budget variance",-3
"85","obj1kr1",10,"Code Enforcement","budget variance",-12
"86","obj1kr1",11,"Code Enforcement","budget variance",5
"87","obj1kr1",1,"Common Council","budget variance",-15
"88","obj1kr1",2,"Common Council","budget variance",3
"89","obj1kr1",3,"Common Council","budget variance",-1
"90","obj1kr1",4,"Common Council","budget variance",0
"91","obj1kr1",5,"Common Council","budget variance",1
"92","obj1kr1",6,"Common Council","budget variance",4
"93","obj1kr1",7,"Common Council","budget variance",-1
"94","obj1kr1",8,"Common Council","budget variance",1
"95","obj1kr1",9,"Common Council","budget variance",-5
"96","obj1kr1",10,"Common Council","budget variance",-6
"97","obj1kr1",11,"Common Council","budget variance",1
"98","obj1kr1",1,"Dept of Water Engineering","budget variance",-35
"99","obj1kr1",2,"Dept of Water Engineering","budget variance",-24
"100","obj1kr1",3,"Dept of Water Engineering","budget variance",74
"101","obj1kr1",4,"Dept of Water Engineering","budget variance",71
"102","obj1kr1",5,"Dept of Water Engineering","budget variance",-17
"103","obj1kr1",6,"Dept of Water Engineering","budget variance",-1
"104","obj1kr1",7,"Dept of Water Engineering","budget variance",15
"105","obj1kr1",8,"Dept of Water Engineering","budget variance",-38
"106","obj1kr1",9,"Dept of Water Engineering","budget variance",126
"107","obj1kr1",10,"Dept of Water Engineering","budget variance",-14
"108","obj1kr1",11,"Dept of Water Engineering","budget variance",36
"109","obj1kr1",1,"Dept of Water Finance","budget variance",-15
"110","obj1kr1",2,"Dept of Water Finance","budget variance",8
"111","obj1kr1",3,"Dept of Water Finance","budget variance",-1
"112","obj1kr1",4,"Dept of Water Finance","budget variance",0
